index,name,type,star,visitor,blog,url,image
0,금랑횟집,횟집,4.61,"1,382","2,050","https://map.naver.com/p/search/%ED%95%B4%EC%9A%B4%EB%8C%80%20%EA%B8%88%EB%9E%91%ED%9A%9F%EC%A7%91/place/16682776?c=15.00,0,0,0,dh&isCorrectAnswer=true",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221209_216%2F16705554544440b54V_JPEG%2FKakaoTalk_20221209_113224909.jpg
1,톤쇼우,돈가스,4.54,"5,091","3,750","https://map.naver.com/p/search/%ED%95%B4%EC%9A%B4%EB%8C%80%20%ED%86%A4%EC%87%BC%EC%9A%B0/place/1374328442?c=15.00,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA5MjVfNTgg%2FMDAxNjk1NjI4NDYyOTU0.rDkjtCfJjrhQXKWlqiAhWNIi76Y2qAq1gN1yLUeq3Q8g.FDwhoBNjIdQ8ShE-VBzDoF6G53mBkq3sTnFvTeUbH5Ig.JPEG%2FIMG_3690.jpeg
2,로얄경양식&스테이크,양식,4.49,"1,581",852,"https://map.naver.com/p/search/%EB%A1%9C%EC%96%84%EA%B2%BD%EC%96%91%EC%8B%9D%26%EC%8A%A4%ED%85%8C%EC%9D%B4%ED%81%AC/place/1120892854?c=15.00,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230706_170%2F1688579300088ByGM0_JPEG%2FJN103531_%25283%2529.jpg
3,고옥,일식당,4.48,"2,081","1,944","https://map.naver.com/p/search/%EA%B3%A0%EC%98%A5/place/20782303?c=15.00,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA5MTRfMTQ3%2FMDAxNjk0NjIwNDk2NzU2.uGTBIp0TuHp0VaEroJz-1LnCPt9pElH0IhXEvNdu-gcg.37XOo6MLhAHGrhEov8Z8f4OXPYCpdfl7JOPXaVfQPvMg.JPEG%2F20230913_181803.jpg
4,홍옥당,카페,4.46,"1,170",307,"https://map.naver.com/p/search/%ED%99%8D%EC%98%A5%EB%8B%B9/place/35545954?c=15.00,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzA5MDlfMTEx%2FMDAxNjk0MjI1NjcwMzM3.nLKmS6LiBbtBXrByXxFHcrvHeJAlnJfSBo34uzSXMkcg.xUuAtPyRPYJaGzoTL2q2gHqnLqXmh93VPxQd7lZznAog.JPEG.tba31%2F20220722_182636.jpg
5,할미재첩,한식,4.46,"3,102","1,362","https://map.naver.com/p/search/%ED%95%A0%EB%AF%B8%EC%9E%AC%EC%B2%A9/place/11873587?c=15.00,0,0,0,dh&placePath=%3Fentry%253Dbmp",https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA3MDFfMTI1%2FMDAxNjg4MTg2NDAzNTY3.uO7ENG3dEQRVqzivPXHOht1oYvSi3u3WxO_lMMNHOUog.2TPShqeiQCSJgYxv0rTBLBvx8PET53OPFV_GSu_SHNIg.JPEG%2F20230701_122653.jpg
6,국이네낙지볶음,한식,4.44,"4,431",879,"https://map.naver.com/p/search/%EA%B5%AD%EC%9D%B4%EB%84%A4%EB%82%99%EC%A7%80%EB%B3%B6%EC%9D%8C/place/36896410?c=15.00,0,0,0,dh&isCorrectAnswer=true",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzA5MTBfNzUg%2FMDAxNjk0MzQ0NzgyMzE4.1uqvqiUcGT_KF7GID1G3uC7DKaUM4kbwK_daVxxe5BQg.kx-iKWwICbLWnMklvf4XJxAGhnrqzmBk6S20nP5kg9Ag.JPEG.designer_jyj%2FKakaoTalk_20230910_193201710_01.jpg

